客户,商品名称,款号,颜色,尺码,数量,国内价,下单时间
小美,Align High-Rise Pant 25",LW5CTVS,Black,8,1,1080,2026-09-02 09:15
Jenny W,Scuba Oversized Half-Zip Hoodie,LW3FP7S,Java,L,1,780,9/2/2026 10:02
阿岚,Everywhere Belt Bag 1L,,Black,ONE SIZE,2 件,430,2026年9月3日
王太太,Define Jacket Luon,LW3HL3S,True Navy,6,1,1250,2026-09-04
Coco,Swiftly Tech Long Sleeve 2.0,,White,4,3,620,2026-09-05 16:30
李姐,Wunder Train High-Rise Tight 25",LW5DQ2S,Black,10,1,980,2026-09-08 11:20
Tina,Metal Vent Tech Short Sleeve,,Graphite Grey,M,1,,2026-09-09 08:05
周先生,Commission Slim-Fit Pant 32",LM5AL9S,Black,32,1,1420,2026-09-10
小雨,Scuba Full-Zip Hoodie,LW4BQ8S,Heathered Core Ultra Light Grey,S,1,,2026-09-10 19:40
Amy L,Align Tank Top,,Pink Mist,6,1,540,2026-09-11 09:00
新客户,Ribbed Nulu High-Rise Short 6",LW7BF2S,Black,4,1,,2026-09-12 10:00
小美,Align High-Rise Pant 25",LW5CTVS,Black,8,1,1080,2026-09-08 14:00
